School Name,Score
University of Reading,50
"Université Paris Sorbonne, Paris IV",49.03
Indian Institute of Technology Bombay (IITB),48.79
University of Iowa,48.74
University of Canterbury,48.51
Sapienza University of Rome,48.41
Korea University,48.4
University of Ghent,48.38
University of Florida,48.25
Stony Brook University,48.19
Universität Frankfurt am Main,48.15
National Tsing Hua University,47.94
Queen's University of Belfast,47.9
Texas A&M University,47.87
University of Twente,47.66
Rheinische Friedrich-Wilhelms-Universität Bonn,47.51
University of Dundee,47.46
Indian Institute of Technology Delhi (IITD),47.39
Sciences Po Paris,47.38
Chalmers University of Technology,47.34
Universität Stuttgart,47.23
Keio University,47.22
Universiti Malaya (UM),47.09
Michigan State University,47.05
Universite Libre de Bruxelles (ULB),46.73
Saint-Petersburg State University,46.68
University of Turku,46.43
Dalhousie University,46.4
Universidad Autónoma de Madrid,46.05
Simon Fraser University,45.88
Julius-Maximilians-Universität Würzburg,45.87
"Rutgers, The State University of New Jersey, New Brunswick",45.6
Technische Universität Berlin,45.53
Zhejiang University,45.51
University of Notre Dame,45.03
Macquarie University,45
King Saud University,44.89
Universidad Nacional Autónoma de México (UNAM),44.86
Rensselaer Polytechnic Institute,44.81
RMIT University,44.77
Victoria University of Wellington,44.37
Université Paris-Sud 11,44.22
Indiana University Bloomington,44.09
Mahidol University,43.74
"Université Paris 1, Panthéon-Sorbonne",43.69
"University of Massachusetts, Amherst",43.57
University of Ottawa,43.54
"National University of Ireland, Galway",43.46
Wake Forest University,43.21
Kobe University,43.04
University of Miami,42.97
University of Indonesia,42.9
Norwegian University of Science And Technology,42.79
Vrije Universiteit Brussel (VUB),42.77
Tulane University,42.71
Vienna University of Technology,42.68
University of Victoria,42.64
Universität Hamburg,42.56
University of Surrey,42.42
Universität Mannheim,42.36
Universität Köln,42.29
Université de Strasbourg,42.13
Universität Ulm,42.12
University of Liege,41.98
Indian Institute of Technology Kanpur (IITK),41.95
Aalto University,41.9
Flinders University,41.87
"University of Illinois, Chicago (UIC)",41.86
Universidade de São Paulo,41.67
Hiroshima University,41.66
King Fahd University of Petroleum & Minerals,41.51
University of Newcastle,41.45
"University of Technology, Sydney",41.43
"SOAS - School of Oriental and African Studies, University of London",41.27
University of Exeter,41.13
Universität Erlangen-Nürnberg,41.01
University of Padua,40.91
Indian Institute of Technology Madras (IITM),40.87
Universiti Kebangsaan Malaysia (UKM),40.84
George Washington University,40.76
University of Strathclyde,40.74
Technische Universität Darmstadt,40.71
Charles University,40.66
University of Wollongong,40.66
University Complutense Madrid,40.61
Loughborough University,40.28
Laval University,39.77
North Carolina State University,39.52
"Université Grenoble, Joseph Fourier",39.24
Curtin University of Technology,39.23
University of Cincinnati,39.13
Iowa State University,39.13
University of Hawaii at Manoa,39.06
Universität Innsbruck,38.95
"École des Ponts, ParisTech",38.8
Brandeis University,38.78
University of South Australia,38.75
Université Paris Diderot - Paris 7,38.52
National Cheng Kung University,38.47
"University of California, Santa Cruz",38.46
"University of California, Riverside",38.35
University of Athens,38.25
La Trobe University,38.25
"Université Montpellier 2, Sciences et Techniques",38.21
Queensland University of Technology,38.12
National Yang Ming University,38.04
Royal Holloway University of London,37.97
Universidade Estadual de Campinas (Unicamp),37.89
University of Tromso,37.83
